CSI Index: 1
Subcarrier,Amplitude,Phase
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 5
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.160255,1.858852
5,29.732138,1.91382
6,29.546574,1.989021
7,30.016663,2.094075
8,29.681644,2.14011
9,30.805843,2.194819
10,30.610456,2.240435
11,31.144823,2.310771
12,31.112698,2.356194
13,29.732138,2.403778
14,30.479502,2.425849
15,29.832869,2.451146
16,30.0,2.498091
17,29.410883,2.525296
18,28.600698,2.505085
19,28.017851,2.533791
20,28.017851,2.533791
21,28.84441,2.55359
22,28.600698,2.505085
23,28.84441,2.55359
24,28.84441,2.55359
25,28.84441,2.55359
26,28.84441,2.55359
27,30.232433,2.544416
28,29.681644,2.572279
29,31.064449,2.562518
30,30.528675,2.589938
31,30.88689,2.634494
32,0.0,0.0
33,30.88689,2.634494
34,29.529646,2.647651
35,29.068884,2.677945
36,28.635643,2.709185
37,27.730848,2.694073
38,26.832815,2.677945
39,26.400757,2.71183
40,25.495098,2.695487
41,25.079872,2.731465
42,25.079872,2.731465
43,23.769728,2.753274
44,22.847319,2.736701
45,23.769728,2.753274
46,22.847319,2.736701
47,22.847319,2.736701
48,22.847319,2.736701
49,22.472204,2.777614
50,22.135944,2.819842
51,23.086792,2.83354
52,22.803509,2.875341
53,22.803509,2.875341
54,22.561028,2.918116
55,22.36068,2.961739
56,21.213203,2.999696
57,21.023796,3.09401
58,21.023796,-3.09401
59,21.023796,-3.09401
60,21.213203,-2.999696
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 6
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.832869,2.261243
5,29.732138,2.308611
6,29.698484,2.356194
7,30.479502,2.425849
8,30.479502,2.425849
9,32.015621,2.466852
10,31.400637,2.491722
11,30.805843,2.51757
12,31.622776,2.536048
13,31.064449,2.562518
14,30.232433,2.544416
15,30.232433,2.544416
16,29.410883,2.525296
17,29.410883,2.525296
18,28.600698,2.505085
19,29.206163,2.477546
20,28.425341,2.455863
21,29.068884,2.429235
22,29.732138,2.403778
23,29.0,2.38058
24,29.0,2.331809
25,29.0,2.331809
26,29.732138,2.308611
27,30.479502,2.28654
28,30.610456,2.240435
29,30.0,2.214298
30,31.622776,2.176341
31,31.622776,2.176341
32,0.0,0.0
33,31.622776,2.176341
34,31.064449,2.149871
35,29.681644,2.14011
36,28.301943,2.129396
37,27.784887,2.098871
38,27.294687,2.067219
39,25.942244,2.051684
40,25.942244,2.051684
41,25.495098,2.016902
42,24.166092,1.997424
43,23.409399,1.919567
44,23.086792,1.878849
45,23.086792,1.878849
46,22.803509,1.837048
47,22.803509,1.837048
48,22.561028,1.794273
49,22.561028,1.794273
50,22.561028,1.794273
51,22.561028,1.794273
52,22.561028,1.794273
53,22.561028,1.794273
54,21.587032,1.80454
55,22.561028,1.794273
56,21.587032,1.80454
57,20.880613,1.862253
58,21.189621,1.907471
59,21.189621,1.907471
60,21.540659,1.951303
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 7
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,27.586229,2.330559
5,27.586229,2.38183
6,27.658634,2.432966
7,28.425341,2.455863
8,27.802877,2.483704
9,29.410883,2.525296
10,29.681644,2.572279
11,29.681644,2.572279
12,29.15476,2.601173
13,29.15476,2.601173
14,29.15476,2.601173
15,27.784887,2.613518
16,28.301943,2.582993
17,27.459061,2.563691
18,27.459061,2.563691
19,26.627054,2.543174
20,26.400757,2.490516
21,27.018513,2.461071
22,27.018513,2.461071
23,26.907248,2.408777
24,27.586229,2.38183
25,27.586229,2.38183
26,27.586229,2.330559
27,28.319605,2.306236
28,29.068884,2.283154
29,28.425341,2.256526
30,29.206163,2.234843
31,29.206163,2.234843
32,0.0,0.0
33,28.600698,2.207304
34,28.017851,2.178598
35,27.459061,2.148698
36,26.925823,2.117585
37,26.076809,2.137526
38,25.553865,2.104505
39,24.186773,2.089942
40,23.706539,2.05331
41,23.259407,2.015216
42,23.259407,2.015216
43,22.472204,1.934775
44,22.472204,1.934775
45,21.189621,1.907471
46,21.189621,1.907471
47,21.84033,1.849096
48,21.84033,1.849096
49,21.587032,1.80454
50,21.587032,1.80454
51,20.615528,1.815775
52,20.615528,1.815775
53,21.587032,1.80454
54,20.615528,1.815775
55,20.615528,1.815775
56,19.646883,1.82812
57,19.924858,1.876675
58,20.248457,1.923787
59,20.248457,1.923787
60,19.313208,1.941688
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 8
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.160255,1.464061
5,28.071337,1.499489
6,29.0,1.570796
7,29.068884,1.639653
8,29.15476,1.673878
9,29.274563,1.707862
10,30.594116,1.768192
11,29.614185,1.774814
12,29.832869,1.807645
13,29.12044,1.849096
14,29.12044,1.849096
15,29.410883,1.881795
16,29.12044,1.849096
17,28.460499,1.892547
18,27.202942,1.869295
19,26.925823,1.833791
20,26.925823,1.833791
21,27.892651,1.82447
22,26.683329,1.797595
23,27.658634,1.789465
24,26.476404,1.760785
25,27.459061,1.753907
26,28.442924,1.747505
27,28.284271,1.712693
28,30.265491,1.703348
29,29.274563,1.707862
30,29.274563,1.707862
31,29.274563,1.707862
32,0.0,0.0
33,29.274563,1.707862
34,29.274563,1.707862
35,27.166155,1.681454
36,27.166155,1.681454
37,26.076809,1.647568
38,25.179358,1.690225
39,24.083189,1.653938
40,24.020824,1.612439
41,24.020824,1.612439
42,23.021729,1.614247
43,23.0,1.570796
44,22.0,1.570796
45,22.022715,1.525373
46,21.023796,1.523213
47,22.022715,1.525373
48,22.090721,1.480136
49,22.090721,1.480136
50,21.095022,1.475845
51,21.023796,1.523213
52,21.023796,1.523213
53,21.023796,1.523213
54,21.0,1.570796
55,21.0,1.570796
56,20.0,1.570796
57,19.026299,1.623379
58,19.104973,1.675673
59,20.223749,1.719686
