CSI Index: 1
Subcarrier,Amplitude,Phase
63,0.0,0.0

CSI Index: 18
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.068884,0.858439
5,29.410883,0.954499
6,29.681644,1.001483
7,30.016663,1.047518
8,29.966648,1.122073
9,31.38471,1.178456
10,30.675724,1.238737
11,30.364452,1.269876
12,31.048349,1.310194
13,30.805843,1.341564
14,30.594116,1.373401
15,30.413813,1.405648
16,30.413813,1.405648
17,29.274563,1.43373
18,28.284271,1.428899
19,28.284271,1.428899
20,28.284271,1.428899
21,28.284271,1.428899
22,28.442924,1.394087
23,29.427877,1.400061
24,28.442924,1.394087
25,29.427877,1.400061
26,29.614185,1.366778
27,29.614185,1.366778
28,30.413813,1.405648
29,30.413813,1.405648
30,31.400637,1.410883
31,31.400637,1.410883
32,0.0,0.0
33,30.413813,1.405648
34,30.413813,1.405648
35,29.274563,1.43373
36,28.284271,1.428899
37,28.284271,1.428899
38,26.172504,1.45592
39,25.317978,1.412141
40,25.317978,1.412141
41,25.317978,1.412141
42,24.331051,1.405648
43,24.331051,1.405648
44,23.345236,1.398605
45,22.203604,1.435269
46,22.36068,1.390943
47,22.561028,1.34732
48,23.537205,1.356736
49,22.36068,1.390943
50,22.36068,1.390943
51,21.213203,1.428899
52,22.36068,1.390943
53,22.090721,1.480136
54,22.090721,1.480136
55,21.023796,1.523213
56,21.0,1.570796
57,21.023796,1.618379
58,21.095022,1.665748
59,21.213203,1.712693
60,21.377558,1.759018
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 19
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.0,-1.570796
5,28.071337,-1.499489
6,29.15476,-1.467715
7,29.274563,-1.43373
8,28.442924,-1.394087
9,30.805843,-1.341564
10,29.832869,-1.333948
11,30.083218,-1.301629
12,30.364452,-1.269876
13,29.410883,-1.259798
14,29.732138,-1.227772
15,29.410883,-1.259798
16,28.460499,-1.249046
17,29.12044,-1.292497
18,28.160255,-1.282741
19,27.892651,-1.317122
20,27.892651,-1.317122
21,27.658634,-1.352127
22,28.442924,-1.394087
23,28.442924,-1.394087
24,28.284271,-1.428899
25,28.284271,-1.428899
26,28.160255,-1.464061
27,29.15476,-1.467715
28,29.017237,-1.536327
29,30.016663,-1.537475
30,30.0,-1.570796
31,31.016125,-1.538549
32,0.0,0.0
33,30.0,-1.570796
34,29.017237,-1.605265
35,29.017237,-1.605265
36,28.017851,-1.606495
37,27.073973,-1.644735
38,26.172504,-1.685673
39,26.076809,-1.647568
40,25.179358,-1.690225
41,24.331051,-1.735945
42,23.345236,-1.742987
43,23.345236,-1.742987
44,22.561028,-1.794273
45,21.587032,-1.80454
46,21.84033,-1.849096
47,22.135944,-1.892547
48,22.135944,-1.892547
49,21.540659,-1.951303
50,21.189621,-1.907471
51,21.189621,-1.907471
52,21.189621,-1.907471
53,21.189621,-1.907471
54,21.189621,-1.907471
55,21.189621,-1.907471
56,20.880613,-1.862253
57,19.646883,-1.82812
58,19.646883,-1.82812
59,20.396078,-1.768192
60,20.223749,-1.719686
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 20
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.068884,0.712358
5,29.698484,0.785398
6,29.0,0.809784
7,29.068884,0.858439
8,29.206163,0.90675
9,29.206163,0.90675
10,30.232433,0.97362
11,31.064449,0.991722
12,31.064449,0.991722
13,29.681644,1.001483
14,29.681644,1.001483
15,29.681644,1.001483
16,29.681644,1.001483
17,28.84441,0.982794
18,28.017851,0.962994
19,28.017851,0.962994
20,27.802877,0.912908
21,28.425341,0.885067
22,27.658634,0.86217
23,29.0,0.809784
24,28.284271,0.785398
25,28.284271,0.785398
26,29.0,0.761013
27,29.068884,0.712358
28,29.732138,0.737815
29,29.832869,0.690446
30,30.610456,0.669639
31,31.400637,0.64987
32,0.0,0.0
33,30.0,0.643501
34,30.232433,0.597177
35,28.017851,0.607802
36,28.301943,0.558599
37,27.784887,0.528074
38,26.925823,0.546789
39,25.059929,0.499347
40,24.596748,0.463648
41,24.166092,0.426627
42,24.166092,0.426627
43,23.769728,0.388319
44,22.472204,0.363979
45,21.189621,0.336675
46,22.135944,0.321751
47,21.84033,0.2783
48,21.587032,0.233743
49,21.84033,0.2783
50,22.561028,0.223477
51,21.587032,0.233743
52,21.587032,0.233743
53,20.615528,0.244979
54,20.615528,0.244979
55,20.880613,0.291457
56,20.615528,0.244979
57,19.924858,0.305879
58,19.924858,0.305879
59,20.248457,0.35299
60,19.313208,0.370891
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 21
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.160255,-1.464061
5,29.427877,-1.400061
6,29.614185,-1.366778
7,30.083218,-1.301629
8,29.410883,-1.259798
9,30.675724,-1.238737
10,30.083218,-1.196463
11,31.38471,-1.178456
12,30.870699,-1.136126
13,30.870699,-1.136126
14,29.966648,-1.122073
15,29.546574,-1.152572
16,29.546574,-1.152572
17,29.546574,-1.152572
18,28.231188,-1.170556
19,28.231188,-1.170556
20,27.856777,-1.203622
21,27.856777,-1.203622
22,28.460499,-1.249046
23,28.160255,-1.282741
24,29.12044,-1.292497
25,29.12044,-1.292497
26,28.86174,-1.325818
27,29.832869,-1.333948
28,29.614185,-1.366778
29,29.427877,-1.400061
30,30.413813,-1.405648
31,30.594116,-1.373401
32,0.0,0.0
33,29.427877,-1.400061
34,29.274563,-1.43373
35,29.274563,-1.43373
36,28.160255,-1.464061
37,27.166155,-1.460139
38,26.076809,-1.494024
39,25.079872,-1.490966
40,25.019993,-1.530818
41,24.020824,-1.529154
42,24.0,-1.570796
43,23.021729,-1.614247
44,22.090721,-1.661456
45,22.090721,-1.661456
46,22.090721,-1.661456
47,21.213203,-1.712693
48,22.203604,-1.706324
49,21.213203,-1.712693
50,21.377558,-1.759018
51,21.213203,-1.712693
52,21.213203,-1.712693
53,20.223749,-1.719686
54,20.223749,-1.719686
55,20.223749,-1.719686
56,20.099751,-1.670465
57,19.104973,-1.675673
58,19.026299,-1.623379
59,19.026299,-1.623379
60,20.024984,-1.520838
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 22
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.410883,2.525296
5,29.681644,2.572279
6,29.529646,2.647651
7,29.966648,2.692869
8,30.463093,2.736701
9,31.38471,2.749253
10,31.016125,2.779048
11,31.622776,2.819842
12,31.320919,2.850136
13,31.320919,2.850136
14,31.048349,2.88099
15,30.083218,2.872425
16,31.048349,2.88099
17,30.083218,2.872425
18,29.12044,2.863293
19,29.12044,2.863293
20,28.460499,2.819842
21,28.460499,2.819842
22,28.79236,2.786887
23,29.15476,2.754717
24,30.083218,2.767259
25,29.546574,2.723368
26,29.966648,2.692869
27,29.966648,2.692869
28,30.413813,2.66324
29,30.88689,2.634494
30,31.38471,2.606637
31,30.88689,2.634494
32,0.0,0.0
33,31.38471,2.606637
34,30.016663,2.618314
35,30.016663,2.618314
36,29.15476,2.601173
37,28.301943,2.582993
38,27.459061,2.563691
39,25.806976,2.521343
40,25.806976,2.521343
41,25.0,2.498091
42,24.207438,2.473303
43,24.207438,2.473303
44,23.43075,2.446854
45,22.671568,2.418613
46,22.627417,2.356194
47,22.627417,2.356194
48,22.627417,2.356194
49,21.931713,2.323948
50,21.931713,2.323948
51,21.213203,2.356194
52,22.627417,2.356194
53,21.931713,2.388441
54,21.931713,2.388441
55,21.213203,2.356194
56,21.260292,2.422763
57,20.615528,2.459276
58,20.615528,2.459276
59,20.0,2.498091
60,20.248457,2.567288
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 23
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,26.925823,-0.262995
5,27.658634,-0.218669
6,28.284271,-0.141897
7,28.160255,-0.106736
8,28.160255,-0.106736
9,29.068884,-0.068856
10,29.017237,-0.034469
11,30.016663,-0.033321
12,30.0,0.0
13,28.0,0.0
14,29.0,0.0
15,28.0,0.0
16,28.0,0.0
17,28.0,0.0
18,27.018513,-0.03702
19,27.073973,-0.073939
20,27.073973,-0.073939
21,27.294687,-0.147078
22,27.294687,-0.147078
23,26.476404,-0.189988
24,27.658634,-0.218669
25,27.892651,-0.253674
26,28.160255,-0.288055
27,28.460499,-0.321751
28,28.460499,-0.321751
29,28.79236,-0.354706
30,28.79236,-0.354706
31,29.732138,-0.343024
32,0.0,0.0
33,29.15476,-0.386876
34,28.178005,-0.479519
35,28.178005,-0.479519
36,27.730848,-0.44752
37,25.942244,-0.480887
38,25.059929,-0.499347
39,24.698177,-0.554308
40,23.853722,-0.576375
41,23.600847,-0.635027
42,23.021729,-0.60005
43,22.203604,-0.625485
44,22.022715,-0.688924
45,21.931713,-0.753151
46,19.79899,-0.785398
47,21.213203,-0.785398
48,21.213203,-0.785398
49,20.518284,-0.819867
50,20.518284,-0.819867
51,19.849434,-0.856706
52,19.849434,-0.856706
53,19.849434,-0.856706
54,20.518284,-0.819867
55,19.849434,-0.856706
56,19.104973,-0.822418
57,19.104973,-0.822418
58,18.384777,-0.785398
59,19.104973,-0.748378
60,18.439089,-0.708626
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 24
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.017851,-0.607802
5,28.84441,-0.588003
6,30.016663,-0.523278
7,29.529646,-0.493941
8,29.966648,-0.448723
9,30.870699,-0.43467
10,30.870699,-0.43467
11,30.463093,-0.404892
12,30.083218,-0.374334
13,31.38471,-0.39234
14,30.083218,-0.374334
15,30.083218,-0.374334
16,30.463093,-0.404892
17,29.546574,-0.418224
18,28.635643,-0.432408
19,28.635643,-0.432408
20,28.178005,-0.479519
21,27.784887,-0.528074
22,28.301943,-0.558599
23,28.017851,-0.607802
24,28.600698,-0.636508
25,28.600698,-0.636508
26,29.832869,-0.690446
27,30.479502,-0.715744
28,29.732138,-0.737815
29,30.413813,-0.762147
30,30.413813,-0.80865
31,30.413813,-0.80865
32,0.0,0.0
33,29.0,-0.809784
34,29.068884,-0.858439
35,29.068884,-0.858439
36,27.802877,-0.912908
37,27.802877,-0.912908
38,25.806976,-0.950547
39,25.238859,-0.982794
40,24.698177,-1.016489
41,24.186773,-1.05165
42,23.706539,-1.088283
43,22.36068,-1.107149
44,21.931713,-1.147942
45,22.472204,-1.206817
46,21.540659,-1.19029
47,22.135944,-1.249046
48,21.189621,-1.234122
49,20.880613,-1.27934
50,20.615528,-1.325818
51,20.880613,-1.27934
52,20.880613,-1.27934
53,21.84033,-1.292497
54,20.615528,-1.325818
55,20.615528,-1.325818
56,19.646883,-1.313473
57,19.924858,-1.264917
58,20.248457,-1.217806
59,19.924858,-1.264917
60,19.313208,-1.199905
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 25
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.86174,-2.896614
5,29.410883,-2.830594
6,29.15476,-2.754717
7,29.966648,-2.692869
8,30.016663,-2.618314
9,31.064449,-2.562518
10,30.0,-2.498091
11,30.610456,-2.471954
12,30.479502,-2.425849
13,29.732138,-2.403778
14,29.698484,-2.356194
15,30.413813,-2.332943
16,29.732138,-2.308611
17,29.732138,-2.308611
18,28.319605,-2.306236
19,28.319605,-2.306236
20,28.319605,-2.306236
21,28.319605,-2.306236
22,28.319605,-2.306236
23,29.0,-2.331809
24,28.284271,-2.356194
25,28.284271,-2.356194
26,29.0,-2.331809
27,29.732138,-2.308611
28,30.413813,-2.332943
29,30.413813,-2.332943
30,30.413813,-2.332943
31,30.413813,-2.332943
32,0.0,0.0
33,29.832869,-2.261243
34,29.732138,-2.308611
35,29.068884,-2.283154
36,27.658634,-2.279423
37,27.018513,-2.251318
38,25.612497,-2.245537
39,25.495098,-2.300696
40,24.083189,-2.297439
41,24.083189,-2.297439
42,24.083189,-2.297439
43,22.671568,-2.293776
44,22.671568,-2.293776
45,21.931713,-2.323948
46,21.931713,-2.323948
47,21.931713,-2.323948
48,21.931713,-2.323948
49,21.260292,-2.289626
50,21.260292,-2.289626
51,21.260292,-2.289626
52,21.260292,-2.289626
53,21.400934,-2.223643
54,20.808653,-2.185459
55,20.248457,-2.145101
56,19.723083,-2.10252
57,19.723083,-2.10252
58,20.124611,-2.034444
59,19.697716,-1.989021
60,18.973665,-1.892547
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 26
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.442924,-2.964884
5,28.86174,-2.896614
6,29.12044,-2.863293
7,29.410883,-2.830594
8,29.732138,-2.798569
9,30.463093,-2.736701
10,30.463093,-2.736701
11,30.870699,-2.706923
12,29.966648,-2.692869
13,30.413813,-2.66324
14,29.529646,-2.647651
15,29.068884,-2.677945
16,29.068884,-2.677945
17,28.635643,-2.709185
18,28.231188,-2.741352
19,26.925823,-2.761086
20,27.856777,-2.774419
21,28.79236,-2.786887
22,28.460499,-2.819842
23,28.160255,-2.853537
24,27.892651,-2.887918
25,27.892651,-2.887918
26,28.635643,-2.930499
27,29.427877,-2.970857
28,29.427877,-2.970857
29,29.274563,-3.004526
30,30.149628,-3.041924
31,30.149628,-3.041924
32,0.0,0.0
33,30.066593,-3.075025
34,29.068884,-3.072736
35,28.017851,-3.105894
36,28.017851,-3.105894
37,26.0,3.141593
38,25.019993,3.101614
39,25.019993,3.101614
40,24.083189,3.058451
41,24.083189,3.058451
42,23.086792,3.054854
43,22.203604,3.006065
44,22.36068,2.961739
45,21.587032,2.90785
46,20.880613,2.850136
47,20.880613,2.850136
48,20.880613,2.850136
49,20.880613,2.850136
50,19.924858,2.835714
51,19.924858,2.835714
52,20.248457,2.788602
53,20.248457,2.788602
54,19.924858,2.835714
55,19.924858,2.835714
56,18.973665,2.819842
57,18.973665,2.819842
58,18.681541,2.870646
59,18.681541,2.870646
60,18.248287,2.976444
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 27
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.732138,1.227772
5,30.364452,1.269876
6,30.083218,1.301629
7,30.805843,1.341564
8,30.413813,1.405648
9,31.257,1.442473
10,31.257,1.442473
11,32.140316,1.47732
12,32.140316,1.47732
13,31.016125,1.538549
14,31.064449,1.506369
15,31.016125,1.538549
16,31.016125,1.538549
17,30.016663,1.537475
18,28.071337,1.499489
19,28.160255,1.464061
20,28.160255,1.464061
21,29.274563,1.43373
22,29.427877,1.400061
23,28.442924,1.394087
24,29.614185,1.366778
25,28.86174,1.325818
26,29.832869,1.333948
27,30.083218,1.301629
28,31.320919,1.27934
29,31.622776,1.249046
30,30.675724,1.238737
31,31.953091,1.219352
32,0.0,0.0
33,29.732138,1.227772
34,30.463093,1.165905
35,29.546574,1.152572
36,27.856777,1.203622
37,29.12044,1.292497
38,18.027756,1.231504
39,20.223749,1.421906
40,29.15476,1.030377
41,24.166092,1.144169
42,23.853722,0.994421
43,23.021729,0.970746
44,21.633308,0.982794
45,21.633308,0.982794
46,22.203604,0.945311
47,22.022715,0.881872
48,22.022715,0.881872
49,22.022715,0.881872
50,22.022715,0.881872
51,21.260292,0.851966
52,21.260292,0.851966
53,21.400934,0.91795
54,21.260292,0.851966
55,21.400934,0.91795
56,20.808653,0.956133
57,20.808653,0.956133
58,19.416489,0.968509
59,19.723083,1.039072
60,20.591261,1.063698
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 28
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.653097,-2.081285
5,29.966648,-2.01952
6,29.546574,-1.989021
7,30.463093,-1.975688
8,29.732138,-1.91382
9,31.622776,-1.892547
10,31.320919,-1.862253
11,31.048349,-1.831399
12,30.083218,-1.839964
13,31.048349,-1.831399
14,30.083218,-1.839964
15,30.083218,-1.839964
16,30.083218,-1.839964
17,30.083218,-1.839964
18,28.460499,-1.892547
19,28.460499,-1.892547
20,27.856777,-1.93797
21,28.231188,-1.971037
22,28.635643,-2.003204
23,29.966648,-2.01952
24,29.068884,-2.034444
25,28.653097,-2.081285
26,29.15476,-2.111216
27,30.528675,-2.122451
28,30.232433,-2.167973
29,29.410883,-2.187093
30,30.0,-2.214298
31,30.805843,-2.194819
32,0.0,0.0
33,30.479502,-2.28654
34,29.832869,-2.261243
35,29.732138,-2.308611
36,27.586229,-2.330559
37,26.870058,-2.356194
38,26.172504,-2.383215
39,26.172504,-2.383215
40,24.083189,-2.41495
41,24.839485,-2.4417
42,22.803509,-2.48055
43,23.021729,-2.541543
44,22.472204,-2.578276
45,22.472204,-2.578276
46,21.954498,-2.616797
47,22.825424,-2.638749
48,22.36068,-2.677945
49,21.931713,-2.718739
50,21.023796,-2.699219
51,21.023796,-2.699219
52,21.023796,-2.699219
53,21.023796,-2.699219
54,21.023796,-2.699219
55,21.023796,-2.699219
56,20.124611,-2.677945
57,20.124611,-2.677945
58,20.124611,-2.677945
59,20.591261,-2.634494
60,19.723083,-2.609869
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 29
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.460499,-0.321751
5,29.832869,-0.236849
6,29.614185,-0.204018
7,29.274563,-0.137066
8,30.149628,-0.099669
9,31.064449,-0.064427
10,31.016125,-0.032247
11,31.0,0.0
12,31.016125,0.032247
13,31.064449,0.064427
14,30.066593,0.066568
15,30.149628,0.099669
16,30.149628,0.099669
17,29.15476,0.103082
18,29.15476,0.103082
19,28.160255,0.106736
20,28.071337,0.071307
21,28.017851,0.035699
22,29.017237,0.034469
23,29.017237,0.034469
24,29.0,0.0
25,30.0,0.0
26,29.017237,-0.034469
27,29.068884,-0.068856
28,31.016125,-0.032247
29,31.016125,-0.032247
30,31.016125,-0.032247
31,31.064449,-0.064427
32,0.0,0.0
33,30.016663,-0.033321
34,30.066593,-0.066568
35,29.017237,-0.034469
36,28.071337,-0.071307
37,28.071337,-0.071307
38,26.172504,-0.114877
39,25.179358,-0.119429
40,25.179358,-0.119429
41,24.186773,-0.124355
42,24.186773,-0.124355
43,24.331051,-0.165149
44,23.345236,-0.172191
45,22.561028,-0.223477
46,22.561028,-0.223477
47,21.587032,-0.233743
48,21.587032,-0.233743
49,21.587032,-0.233743
50,21.587032,-0.233743
51,21.587032,-0.233743
52,21.587032,-0.233743
53,21.587032,-0.233743
54,21.377558,-0.188221
55,21.377558,-0.188221
56,20.223749,-0.14889
57,20.099751,-0.099669
58,20.099751,-0.099669
59,20.024984,-0.049958
60,20.024984,0.049958
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 30
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,26.076809,-3.064821
5,26.172504,-3.026716
6,26.172504,-3.026716
7,27.459061,-2.958482
8,27.658634,-2.922924
9,27.892651,-2.887918
10,27.202942,-2.843094
11,28.160255,-2.853537
12,28.460499,-2.819842
13,27.856777,-2.774419
14,26.925823,-2.761086
15,26.57066,-2.796037
16,26.925823,-2.761086
17,26.57066,-2.796037
18,25.298222,-2.819842
19,25.298222,-2.819842
20,25.96151,-2.868584
21,25.96151,-2.868584
22,26.925823,-2.878598
23,25.709921,-2.906048
24,26.476404,-2.951604
25,26.305893,-2.988943
26,26.305893,-2.988943
27,26.172504,-3.026716
28,27.166155,-3.030936
29,28.071337,-3.070285
30,27.073973,-3.067654
31,28.071337,-3.070285
32,0.0,0.0
33,27.018513,-3.104573
34,27.018513,-3.104573
35,26.0,3.141593
36,26.0,3.141593
37,25.019993,3.101614
38,24.020824,3.09995
39,23.021729,3.098142
40,23.086792,3.054854
41,22.203604,3.006065
42,22.090721,3.050933
43,21.213203,2.999696
44,20.396078,2.944197
45,20.396078,2.944197
46,20.615528,2.896614
47,19.646883,2.884269
48,20.615528,2.896614
49,18.973665,2.819842
50,19.924858,2.835714
51,19.924858,2.835714
52,19.924858,2.835714
53,19.924858,2.835714
54,19.646883,2.884269
55,18.681541,2.870646
56,18.439089,2.922924
57,18.439089,2.922924
58,18.439089,2.922924
59,18.439089,2.922924
60,18.110771,3.030936
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 31
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,26.925823,-1.307802
5,28.160255,-1.282741
6,28.460499,-1.249046
7,27.313,-1.156289
8,28.178005,-1.091277
9,29.529646,-1.076855
10,29.15476,-1.030377
11,29.681644,-1.001483
12,29.410883,-0.954499
13,28.600698,-0.934288
14,27.802877,-0.912908
15,27.802877,-0.912908
16,28.425341,-0.885067
17,27.802877,-0.912908
18,27.018513,-0.890275
19,27.018513,-0.890275
20,27.018513,-0.890275
21,26.400757,-0.91972
22,27.202942,-0.942
23,27.202942,-0.942
24,28.017851,-0.962994
25,28.017851,-0.962994
26,28.017851,-0.962994
27,27.459061,-0.992894
28,28.301943,-1.012197
29,28.84441,-0.982794
30,28.301943,-1.012197
31,29.681644,-1.001483
32,0.0,0.0
33,28.301943,-1.012197
34,27.784887,-1.042722
35,28.301943,-1.012197
36,26.925823,-1.024007
37,26.925823,-1.024007
38,24.698177,-1.016489
39,24.186773,-1.05165
40,23.323807,-1.030377
41,22.825424,-1.067953
42,21.954498,-1.046001
43,22.36068,-1.107149
44,21.470911,-1.086318
45,21.023796,-1.128422
46,21.023796,-1.128422
47,21.023796,-1.128422
48,20.615528,-1.172274
49,20.615528,-1.172274
50,21.023796,-1.128422
51,21.023796,-1.128422
52,21.023796,-1.128422
53,20.124611,-1.107149
54,20.591261,-1.063698
55,19.723083,-1.039072
56,20.248457,-0.996491
57,19.416489,-0.968509
58,19.416489,-0.968509
59,19.209373,-0.896055
60,19.104973,-0.822418
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 32
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,27.586229,-0.759763
5,27.658634,-0.708626
6,28.425341,-0.68573
7,27.802877,-0.657889
8,28.017851,-0.607802
9,28.301943,-0.558599
10,29.681644,-0.569313
11,28.653097,-0.510488
12,28.301943,-0.558599
13,28.301943,-0.558599
14,27.294687,-0.496423
15,27.784887,-0.528074
16,28.301943,-0.558599
17,27.459061,-0.577902
18,26.076809,-0.566729
19,26.076809,-0.566729
20,26.400757,-0.651077
21,26.400757,-0.651077
22,26.24881,-0.704494
23,26.907248,-0.732815
24,26.907248,-0.732815
25,26.870058,-0.785398
26,26.172504,-0.812419
27,28.319605,-0.835357
28,27.658634,-0.86217
29,28.425341,-0.885067
30,28.425341,-0.885067
31,30.0,-0.927295
32,0.0,0.0
33,28.017851,-0.962994
34,28.017851,-0.962994
35,27.459061,-0.992894
36,26.076809,-1.004067
37,25.553865,-1.037088
38,24.596748,-1.107149
39,24.596748,-1.107149
40,22.36068,-1.107149
41,22.36068,-1.107149
42,21.931713,-1.147942
43,22.472204,-1.206817
44,20.880613,-1.27934
45,20.880613,-1.27934
46,20.615528,-1.325818
47,20.615528,-1.325818
48,20.615528,-1.325818
49,20.396078,-1.373401
50,19.235384,-1.414194
51,20.396078,-1.373401
52,20.223749,-1.421906
53,20.223749,-1.421906
54,20.223749,-1.421906
55,19.235384,-1.414194
56,19.416489,-1.3633
57,18.439089,-1.352127
58,19.646883,-1.313473
59,18.439089,-1.352127
60,18.681541,-1.29985
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 33
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.160255,-1.858852
5,28.86174,-1.815775
6,29.614185,-1.774814
7,30.265491,-1.703348
8,30.149628,-1.670465
9,31.016125,-1.603043
10,30.0,-1.570796
11,31.016125,-1.538549
12,30.066593,-1.504228
13,30.066593,-1.504228
14,30.149628,-1.471128
15,29.15476,-1.467715
16,29.15476,-1.467715
17,29.274563,-1.43373
18,28.284271,-1.428899
19,28.160255,-1.464061
20,28.160255,-1.464061
21,28.071337,-1.499489
22,29.068884,-1.50194
23,28.071337,-1.499489
24,29.017237,-1.536327
25,29.017237,-1.536327
26,29.017237,-1.536327
27,30.016663,-1.537475
28,30.0,-1.570796
29,30.0,-1.570796
30,31.0,-1.570796
31,31.0,-1.570796
32,0.0,0.0
33,31.0,-1.570796
34,30.0,-1.570796
35,29.0,-1.570796
36,28.0,-1.570796
37,27.0,-1.570796
38,26.019224,-1.609239
39,25.019993,-1.610775
40,25.019993,-1.610775
41,25.079872,-1.650626
42,24.083189,-1.653938
43,23.086792,-1.657535
44,23.086792,-1.657535
45,23.194826,-1.700499
46,23.345236,-1.742987
47,22.203604,-1.706324
48,22.203604,-1.706324
49,22.203604,-1.706324
50,22.203604,-1.706324
51,22.36068,-1.75065
52,21.213203,-1.712693
53,22.090721,-1.661456
54,22.090721,-1.661456
55,21.095022,-1.665748
56,21.023796,-1.618379
57,21.0,-1.570796
58,20.024984,-1.520838
59,20.099751,-1.471128
60,21.213203,-1.428899
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 34
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.529646,-2.647651
5,30.016663,-2.618314
6,30.016663,-2.618314
7,30.528675,-2.589938
8,31.622776,-2.536048
9,31.622776,-2.536048
10,32.202484,-2.510513
11,31.400637,-2.491722
12,31.400637,-2.491722
13,30.805843,-2.51757
14,30.0,-2.498091
15,30.805843,-2.51757
16,30.232433,-2.544416
17,29.681644,-2.572279
18,28.653097,-2.631104
19,28.653097,-2.631104
20,27.730848,-2.694073
21,29.068884,-2.677945
22,29.15476,-2.754717
23,29.15476,-2.754717
24,29.410883,-2.830594
25,29.12044,-2.863293
26,29.832869,-2.904744
27,30.594116,-2.944197
28,31.400637,-2.981679
29,31.144823,-3.045119
30,31.064449,-3.077166
31,32.062439,-3.079174
32,0.0,0.0
33,31.0,3.141593
34,30.016663,3.108272
35,30.016663,3.108272
36,28.160255,3.034857
37,28.160255,3.034857
38,27.294687,2.994514
39,26.305893,2.988943
40,25.709921,2.906048
41,25.96151,2.868584
42,24.04163,2.846152
43,24.351591,2.806856
44,22.847319,2.736701
45,23.259407,2.697173
46,22.825424,2.638749
47,22.825424,2.638749
48,22.825424,2.638749
49,22.472204,2.578276
50,21.633308,2.55359
51,22.472204,2.578276
52,22.203604,2.516108
53,22.203604,2.516108
54,21.633308,2.55359
55,21.400934,2.488746
56,20.808653,2.52693
57,20.808653,2.52693
58,20.808653,2.52693
59,21.095022,2.593043
60,21.095022,2.593043
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 35
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.0,1.570796
5,29.017237,1.605265
6,28.071337,1.642104
7,28.160255,1.677532
8,29.274563,1.707862
9,29.427877,1.741531
